class,class_r2,question,question_short,predicted,actual,error
not_private_households,0.6443599919517662,I am very good at managing money,Money management,50.0,53.3,3.3
not_private_households,0.6443599919517662,I don't like the idea of being in debt,Debt aversion,45.0,43.9,1.1
not_private_households,0.6443599919517662,I like to use cash when making purchases,Cash preference,55.0,51.6,3.4
not_private_households,0.6443599919517662,I think brands should consider environmental susta...,Environmental sustainability,30.0,35.0,5.0
not_private_households,0.6443599919517662,It is important to be well insured for everything,Insurance importance,25.0,17.5,7.5
not_private_households,0.6443599919517662,Make an effort to cut down on the use of gas / ele...,Energy saving,65.0,60.8,4.2
not_private_households,0.6443599919517662,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,34.3,5.7
prosperous_professionals,0.9360181579818145,Financial security after retirement is your own re...,Retirement responsibility,55.0,59.8,4.8
prosperous_professionals,0.9360181579818145,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,11.9,3.1
prosperous_professionals,0.9360181579818145,Healthy Eating,Healthy eating,45.0,44.4,0.6
prosperous_professionals,0.9360181579818145,I am very good at managing money,Money management,65.0,54.8,10.2
prosperous_professionals,0.9360181579818145,I don't like the idea of being in debt,Debt aversion,45.0,43.1,1.9
prosperous_professionals,0.9360181579818145,I like to use cash when making purchases,Cash preference,25.0,28.7,3.7
prosperous_professionals,0.9360181579818145,I think brands should consider environmental susta...,Environmental sustainability,30.0,34.0,4.0
prosperous_professionals,0.9360181579818145,It is important to be well insured for everything,Insurance importance,12.0,11.2,0.8
prosperous_professionals,0.9360181579818145,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,71.1,3.9
prosperous_professionals,0.9360181579818145,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,34.3,5.7
semi-rural_maturity,0.8181654764881185,Financial security after retirement is your own re...,Retirement responsibility,58.0,66.9,8.9
semi-rural_maturity,0.8181654764881185,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,14.8,0.2
semi-rural_maturity,0.8181654764881185,Healthy Eating,Healthy eating,40.0,38.8,1.2
semi-rural_maturity,0.8181654764881185,I am very good at managing money,Money management,55.0,62.6,7.6
semi-rural_maturity,0.8181654764881185,I don't like the idea of being in debt,Debt aversion,45.0,43.5,1.5
semi-rural_maturity,0.8181654764881185,I like to use cash when making purchases,Cash preference,55.0,35.7,19.3
semi-rural_maturity,0.8181654764881185,I think brands should consider environmental susta...,Environmental sustainability,30.0,22.9,7.1
semi-rural_maturity,0.8181654764881185,It is important to be well insured for everything,Insurance importance,25.0,11.5,13.5
semi-rural_maturity,0.8181654764881185,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,76.5,1.5
semi-rural_maturity,0.8181654764881185,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,33.0,7.0
settled_suburbia,0.8557396300218211,Financial security after retirement is your own re...,Retirement responsibility,58.0,63.6,5.6
settled_suburbia,0.8557396300218211,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,12.3,2.7
settled_suburbia,0.8557396300218211,Healthy Eating,Healthy eating,45.0,37.1,7.9
settled_suburbia,0.8557396300218211,I am very good at managing money,Money management,55.0,58.1,3.1
settled_suburbia,0.8557396300218211,I don't like the idea of being in debt,Debt aversion,45.0,42.3,2.7
settled_suburbia,0.8557396300218211,I like to use cash when making purchases,Cash preference,45.0,31.5,13.5
settled_suburbia,0.8557396300218211,I think brands should consider environmental susta...,Environmental sustainability,30.0,24.6,5.4
settled_suburbia,0.8557396300218211,It is important to be well insured for everything,Insurance importance,25.0,11.4,13.6
settled_suburbia,0.8557396300218211,Make an effort to cut down on the use of gas / ele...,Energy saving,70.0,74.7,4.7
settled_suburbia,0.8557396300218211,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,33.3,6.7
stable_seniors,0.7989568693198875,Financial security after retirement is your own re...,Retirement responsibility,54.0,59.8,5.8
stable_seniors,0.7989568693198875,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,14.4,0.6
stable_seniors,0.7989568693198875,Healthy Eating,Healthy eating,40.0,36.0,4.0
stable_seniors,0.7989568693198875,I am very good at managing money,Money management,55.0,57.4,2.4
stable_seniors,0.7989568693198875,I don't like the idea of being in debt,Debt aversion,55.0,43.5,11.5
stable_seniors,0.7989568693198875,I like to use cash when making purchases,Cash preference,55.0,37.1,17.9
stable_seniors,0.7989568693198875,I think brands should consider environmental susta...,Environmental sustainability,30.0,24.2,5.8
stable_seniors,0.7989568693198875,It is important to be well insured for everything,Insurance importance,25.0,12.5,12.5
stable_seniors,0.7989568693198875,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,77.3,2.3
stable_seniors,0.7989568693198875,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,31.6,8.4
tenant_living,0.7595060379475924,Financial security after retirement is your own re...,Retirement responsibility,54.0,54.7,0.7
tenant_living,0.7595060379475924,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,14.9,0.1
tenant_living,0.7595060379475924,Healthy Eating,Healthy eating,45.0,38.9,6.1
tenant_living,0.7595060379475924,I am very good at managing money,Money management,55.0,51.5,3.5
tenant_living,0.7595060379475924,I don't like the idea of being in debt,Debt aversion,45.0,47.1,2.1
tenant_living,0.7595060379475924,I like to use cash when making purchases,Cash preference,55.0,33.3,21.7
tenant_living,0.7595060379475924,I think brands should consider environmental susta...,Environmental sustainability,30.0,32.7,2.7
tenant_living,0.7595060379475924,It is important to be well insured for everything,Insurance importance,25.0,10.3,14.7
tenant_living,0.7595060379475924,Make an effort to cut down on the use of gas / ele...,Energy saving,70.0,73.7,3.7
tenant_living,0.7595060379475924,Switching utilities suppliers is well worth the ef...,Switching providers,35.0,34.0,1.0
up-and-coming_urbanites,0.8952603588732504,Financial security after retirement is your own re...,Retirement responsibility,54.0,52.9,1.1
up-and-coming_urbanites,0.8952603588732504,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,10.1,4.9
up-and-coming_urbanites,0.8952603588732504,Healthy Eating,Healthy eating,40.0,46.0,6.0
up-and-coming_urbanites,0.8952603588732504,I am very good at managing money,Money management,55.0,52.3,2.7
up-and-coming_urbanites,0.8952603588732504,I don't like the idea of being in debt,Debt aversion,45.0,47.7,2.7
up-and-coming_urbanites,0.8952603588732504,I like to use cash when making purchases,Cash preference,35.0,29.2,5.8
up-and-coming_urbanites,0.8952603588732504,I think brands should consider environmental susta...,Environmental sustainability,30.0,30.8,0.8
up-and-coming_urbanites,0.8952603588732504,It is important to be well insured for everything,Insurance importance,25.0,11.3,13.7
up-and-coming_urbanites,0.8952603588732504,Make an effort to cut down on the use of gas / ele...,Energy saving,70.0,69.8,0.2
up-and-coming_urbanites,0.8952603588732504,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,33.6,6.4
upmarket_families,0.9082336409936911,Financial security after retirement is your own re...,Retirement responsibility,55.0,71.2,16.2
upmarket_families,0.9082336409936911,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,11.8,3.2
upmarket_families,0.9082336409936911,Healthy Eating,Healthy eating,45.0,43.9,1.1
upmarket_families,0.9082336409936911,I am very good at managing money,Money management,65.0,70.0,5.0
upmarket_families,0.9082336409936911,I don't like the idea of being in debt,Debt aversion,45.0,42.3,2.7
upmarket_families,0.9082336409936911,I like to use cash when making purchases,Cash preference,35.0,26.7,8.3
upmarket_families,0.9082336409936911,I think brands should consider environmental susta...,Environmental sustainability,30.0,30.2,0.2
upmarket_families,0.9082336409936911,It is important to be well insured for everything,Insurance importance,18.0,13.1,4.9
upmarket_families,0.9082336409936911,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,72.9,2.1
upmarket_families,0.9082336409936911,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,34.1,5.9
