Demographic,Concept,Question,Answer,Value,Predicted,,
Older Working Families,Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.221250131,0,,
Older Working Families,Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.433056689,1,,
Older Working Families,Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.073489661,0,,
Older Working Families,Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.727103183,0,,
Older Working Families,Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.505916847,1,,
Older Working Families,Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.841093205,1,,
"Rising 
Metropolitans",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.106321279,0,,
"Rising 
Metropolitans",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.162968293,1,,
"Rising 
Metropolitans",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.5253406,1,,
"Rising 
Metropolitans",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.496802391,0,,
"Rising 
Metropolitans",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.340403191,1,,
"Rising 
Metropolitans",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.371301953,0,,
"Rising 
Metropolitans",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.131246081,1,,
"Rising 
Metropolitans",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.755835373,0,,
"Rising 
Metropolitans",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.558910696,1,,
"Rising 
Metropolitans",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.912710059,1,,
"Road To 
Retirement",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.079605229,0,,
"Road To 
Retirement",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.148406403,0,,
"Road To 
Retirement",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.297896893,0,,
"Road To 
Retirement",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.607104887,1,,
"Road To 
Retirement",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.21875647,0,,
"Road To 
Retirement",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.480542209,1,,
"Road To 
Retirement",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.052091148,0,,
"Road To 
Retirement",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.797671263,1,,
"Road To 
Retirement",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.331520144,0,,
"Road To 
Retirement",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.686737692,0,,
Secure Homeowners,Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.087270097,0.18,0.092729903,0.83
Secure Homeowners,Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.126706369,0.2,0.073293631,
Secure Homeowners,Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.449579576,0.275,0.174579576,
Secure Homeowners,Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.561488221,0.36,0.201488221,
Secure Homeowners,Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.250187824,0.35,0.099812176,
Secure Homeowners,Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.3876987,0.38,0.0076987,
Secure Homeowners,Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.082437209,0.2,0.117562791,
Secure Homeowners,Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.71512568,0.81,0.09487432,
Secure Homeowners,Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.627347721,0.65,0.022652279,
Secure Homeowners,Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.896901519,0.854,0.042901519,
"Starting 
Out",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.15834596,0.19,0.03165404,0.87
"Starting 
Out",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.189661477,0.208,0.018338523,
"Starting 
Out",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.537579257,0.298,0.239579257,
"Starting 
Out",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.408396634,0.33,0.078396634,
"Starting 
Out",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.316066622,0.35,0.033933378,
"Starting 
Out",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.32734959,0.35,0.02265041,
"Starting 
Out",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.162788855,0.19,0.027211145,
"Starting 
Out",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.78876366,0.8,0.01123634,
"Starting 
Out",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.475449415,0.51,0.034550585,
"Starting 
Out",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.880423607,0.87,0.010423607,
"Young 
Dependents",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.175840203,0.186,0.144159797,0.85
"Young 
Dependents",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.193458259,0.194,0.001458259,
"Young 
Dependents",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.50122415,0.35,0.25122415,
"Young 
Dependents",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.524923143,0.302,0.232923143,
"Young 
Dependents",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.369951662,0.35,0.130048338,
"Young 
Dependents",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.332089096,0.396,0.197910904,
"Young 
Dependents",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.179280336,0.204,0.130719664,
"Young 
Dependents",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.838111727,0.81,0.028111727,
"Young 
Dependents",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.475286669,0.53,0.024713331,
"Young 
Dependents",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.913562386,0.866,0.103562386,
