Question,Option,Demographic,Value,Prediction
Milege,"Yearly mileage: 0 - 5,000 miles","Rising 
Metropolitans",0.3439301252598,
finance: products opened in last year,Current Account,"Rising 
Metropolitans",0.329056230512099,
invesment: innovative types,Cryptocurrency Digital currency,"Rising 
Metropolitans",0.115919610436017,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,"Rising 
Metropolitans",0.912710058543638,
 lifestyle: interest and hobbies,Watching television,"Rising 
Metropolitans",0.580401715319987,
arranged considerable products,,"Rising 
Metropolitans",,
 holiday destination,Holiday: short haul,"Rising 
Metropolitans",0.723016430701175,
 manage current account,Online,"Rising 
Metropolitans",0.7528314567214,
 finance benefits,Child benefit,"Rising 
Metropolitans",0.120211508401869,
 number of children at home,0,"Rising 
Metropolitans",0.724547484108122,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations","Rising 
Metropolitans",0.334785752892171,
working arrangement,Full-time,"Constrained 
Parents",0.432446085991002,
Saving value,No savings,"Constrained 
Parents",0.642171288251761,
happened in last year,Was a victim of fraud or identity theft,"Constrained 
Parents",0.071564614486116,
Retirement age,Retired and aged under 50,"Constrained 
Parents",0.0010190779010333,
Milege,"Yearly mileage: 0 - 5,000 miles","Constrained 
Parents",0.33645886320789,
finance: products opened in last year,Current Account,"Constrained 
Parents",0.169838027147317,
invesment: innovative types,Cryptocurrency Digital currency,"Constrained 
Parents",0.0510991379568845,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,"Constrained 
Parents",0.8291112583288,
 lifestyle: interest and hobbies,Has a pet,"Constrained 
Parents",0.597757823960966,
arranged considerable products,,"Constrained 
Parents",,
 holiday destination,Holiday: short haul,"Constrained 
Parents",0.585133744077126,
 manage current account,Online,"Constrained 
Parents",0.649337604167842,
 finance benefits,Child benefit,"Constrained 
Parents",0.377246269712721,
 number of children at home,0,"Constrained 
Parents",0.343328090329065,
 NS Socio-Economic Classification,Semi-routine occupations,"Constrained 
Parents",0.203182421333647,
working arrangement,Full-time,"Families 
Juggling Finances",0.67620240656913,
Saving value,No savings,"Families 
Juggling Finances",0.427325873817954,
happened in last year,Was a victim of fraud or identity theft,"Families 
Juggling Finances",0.0644001591588051,
Retirement age,Retired and aged under 50,"Families 
Juggling Finances",0.0004814691889996,
Milege,"Yearly mileage: 0 - 5,000 miles","Families 
Juggling Finances",0.334008078446423,
finance: products opened in last year,Current Account,"Families 
Juggling Finances",0.26223456002009,
invesment: innovative types,Cryptocurrency Digital currency,"Families 
Juggling Finances",0.089242557607155,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,"Families 
Juggling Finances",0.875156701019173,
 lifestyle: interest and hobbies,Watching television,"Families 
Juggling Finances",0.582281469964236,
arranged considerable products,,"Families 
Juggling Finances",,
 holiday destination,Holiday: short haul,"Families 
Juggling Finances",0.622895573731767,
 manage current account,Online,"Families 
Juggling Finances",0.70959348380988,
 finance benefits,Child benefit,"Families 
Juggling Finances",0.279046324200551,
 number of children at home,0,"Families 
Juggling Finances",0.491694140577795,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations","Families 
Juggling Finances",0.287580441788829,
working arrangement,Full-time,Secure Homeowners,0.683737307009184,
Saving value,No savings,Secure Homeowners,0.31415426552894,
happened in last year,Was a victim of fraud or identity theft,Secure Homeowners,0.048809370241384,
Retirement age,Retired and aged 50 - 54,Secure Homeowners,0.0022589036244527,
Milege,"Yearly mileage: 0 - 5,000 miles",Secure Homeowners,0.351499854645248,
finance: products opened in last year,Savings account,Secure Homeowners,0.231127798566546,
invesment: innovative types,Cryptocurrency Digital currency,Secure Homeowners,0.0800623538548906,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,Secure Homeowners,0.89690151880401,
 lifestyle: interest and hobbies,Watching television,Secure Homeowners,0.645237401379112,
arranged considerable products,,Secure Homeowners,,
 holiday destination,Holiday: short haul,Secure Homeowners,0.668697777564119,
 manage current account,Online,Secure Homeowners,0.761366157110077,
 finance benefits,Child benefit,Secure Homeowners,0.316831886984248,
 number of children at home,0,Secure Homeowners,0.44493891856124,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations",Secure Homeowners,0.349602904591728,
working arrangement,Full-time,High Income Professionals,0.635585269092313,
Saving value,No savings,High Income Professionals,0.301089856154662,
happened in last year,Was a victim of fraud or identity theft,High Income Professionals,0.0526134904269076,
Retirement age,Retired and aged 50 - 54,High Income Professionals,0.0115846987878696,
Milege,"Yearly mileage: 0 - 5,000 miles",High Income Professionals,0.38391930487997,
finance: products opened in last year,Savings account,High Income Professionals,0.208580128437452,
invesment: innovative types,Cryptocurrency Digital currency,High Income Professionals,0.0648905229242477,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,High Income Professionals,0.894728546555583,
 lifestyle: interest and hobbies,Watching television,High Income Professionals,0.661286308966916,
arranged considerable products,,High Income Professionals,,
 holiday destination,Holiday: short haul,High Income Professionals,0.71181336704437,
 manage current account,Online,High Income Professionals,0.769971282812038,
 finance benefits,Child benefit,High Income Professionals,0.22279344294859,
 number of children at home,0,High Income Professionals,0.498632702732981,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations",High Income Professionals,0.40291214255011,
working arrangement,Full-time,Older Working Families,0.615636841801755,
Saving value,No savings,Older Working Families,0.390679289424346,
happened in last year,Was a victim of fraud or identity theft,Older Working Families,0.0474810642819225,
Retirement age,Retired and aged 50 - 54,Older Working Families,0.0108558898629432,
Milege,"Yearly mileage: 0 - 5,000 miles",Older Working Families,0.393244508242158,
finance: products opened in last year,Savings account,Older Working Families,0.138631359395324,
invesment: innovative types,Cryptocurrency Digital currency,Older Working Families,0.0363236439720762,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,Older Working Families,0.841093205412958,
 lifestyle: interest and hobbies,Watching television,Older Working Families,0.666525055545567,
arranged considerable products,,Older Working Families,,
 holiday destination,Holiday: short haul,Older Working Families,0.63226419582394,
 manage current account,Online,Older Working Families,0.713521633855602,
 finance benefits,Child benefit,Older Working Families,0.270727761023936,
 number of children at home,0,Older Working Families,0.578151404174813,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations",Older Working Families,0.301388938313935,
working arrangement,Full-time,"Mid-Life 
Pressed Renters",0.417813830724184,
Saving value,No savings,"Mid-Life 
Pressed Renters",0.628008223259718,
happened in last year,Was a victim of fraud or identity theft,"Mid-Life 
Pressed Renters",0.0690516418247872,
Retirement age,Retired and aged 60 - 64,"Mid-Life 
Pressed Renters",0.0242844430996208,
Milege,"Yearly mileage: 0 - 5,000 miles","Mid-Life 
Pressed Renters",0.368936145278701,
finance: products opened in last year,Current Account,"Mid-Life 
Pressed Renters",0.0827631739656937,
invesment: innovative types,Cryptocurrency Digital currency,"Mid-Life 
Pressed Renters",0.0237442163635479,
finance: financial attitudes,I hate to borrow - I would much rather save up in advance,"Mid-Life 
Pressed Renters",0.75324684199815,
 lifestyle: interest and hobbies,Watching television,"Mid-Life 
Pressed Renters",0.620903729090537,
arranged considerable products,,"Mid-Life 
Pressed Renters",,
 holiday destination,Holiday: short haul,"Mid-Life 
Pressed Renters",0.570744642978286,
 manage current account,In branch,"Mid-Life 
Pressed Renters",0.572915232407204,
 finance benefits,Universal credit,"Mid-Life 
Pressed Renters",0.179559703678038,
 number of children at home,0,"Mid-Life 
Pressed Renters",0.738745991227184,
 NS Socio-Economic Classification,Semi-routine occupations,"Mid-Life 
Pressed Renters",0.200449413313061,
working arrangement,Retired,"Asset Rich 
Greys",0.529662953427604,
Saving value,No savings,"Asset Rich 
Greys",0.284847938734483,
happened in last year,Was a victim of fraud or identity theft,"Asset Rich 
Greys",0.0507459511635921,
Retirement age,Retired and aged over 70,"Asset Rich 
Greys",0.258522020862803,
Milege,"Yearly mileage: 0 - 5,000 miles","Asset Rich 
Greys",0.50919925928264,
finance: products opened in last year,Savings account,"Asset Rich 
Greys",0.167516209205227,
invesment: innovative types,Collectable assets,"Asset Rich 
Greys",0.0307215494271478,
finance: financial attitudes,I hate to borrow - I would much rather save up in advance,"Asset Rich 
Greys",0.793630372935392,
 lifestyle: interest and hobbies,Watching television,"Asset Rich 
Greys",0.675973772165724,
arranged considerable products,,"Asset Rich 
Greys",,
 holiday destination,Holiday: short haul,"Asset Rich 
Greys",0.698182446585785,
 manage current account,Online,"Asset Rich 
Greys",0.664022294704793,
 finance benefits,Child benefit,"Asset Rich 
Greys",0.0174403767704917,
 number of children at home,0,"Asset Rich 
Greys",0.915897151549524,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations","Asset Rich 
Greys",0.146704052234806,
working arrangement,Retired,"Road To 
Retirement",0.51643068789912,
Saving value,No savings,"Road To 
Retirement",0.370390299268902,
happened in last year,Was a victim of fraud or identity theft,"Road To 
Retirement",0.0467623762880899,
Retirement age,Retired and aged over 70,"Road To 
Retirement",0.237121400205137,
Milege,"Yearly mileage: 0 - 5,000 miles","Road To 
Retirement",0.502167723081352,
finance: products opened in last year,Savings account,"Road To 
Retirement",0.126467310249785,
invesment: innovative types,Collectable assets,"Road To 
Retirement",0.0221564061734692,
finance: financial attitudes,I hate to borrow - I would much rather save up in advance,"Road To 
Retirement",0.797671262704939,
 lifestyle: interest and hobbies,Watching television,"Road To 
Retirement",0.684661409440301,
arranged considerable products,,"Road To 
Retirement",,
 holiday destination,Holiday: short haul,"Road To 
Retirement",0.633270749366789,
 manage current account,Online,"Road To 
Retirement",0.562484077546658,
 finance benefits,Universal credit,"Road To 
Retirement",0.01993095005547,
 number of children at home,0,"Road To 
Retirement",0.934656219636145,
 NS Socio-Economic Classification,"Lower managerial, administrative and professional occupations","Road To 
Retirement",0.11635894038793,
working arrangement,Retired,"Budgeting 
Elderly",0.899279563924131,
Saving value,No savings,"Budgeting 
Elderly",0.518530376181124,
happened in last year,Was a victim of fraud or identity theft,"Budgeting 
Elderly",0.0575975651281454,
Retirement age,Retired and aged over 70,"Budgeting 
Elderly",0.729246610923881,
Milege,"Yearly mileage: 0 - 5,000 miles","Budgeting 
Elderly",0.57285625618572,
finance: products opened in last year,Savings account,"Budgeting 
Elderly",0.0528278457557758,
invesment: innovative types,Collectable assets,"Budgeting 
Elderly",0.0178608594648713,
finance: financial attitudes,I hate to borrow - I would much rather save up in advance,"Budgeting 
Elderly",0.873624348981687,
 lifestyle: interest and hobbies,Watching television,"Budgeting 
Elderly",0.678769446355415,
arranged considerable products,,"Budgeting 
Elderly",,
 holiday destination,Holiday: short haul,"Budgeting 
Elderly",0.587556859129296,
 manage current account,In branch,"Budgeting 
Elderly",0.626163099868464,
 finance benefits,Income support,"Budgeting 
Elderly",0.012975444223563,
 number of children at home,0,"Budgeting 
Elderly",0.97781366913352,
 NS Socio-Economic Classification,Small employers and own account workers,"Budgeting 
Elderly",0.023787013375687,
