respondent_id,wave,source_file,region,age,gender,acorn_group
fy25_csg_embrace_me_bodycare_r0017,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0018,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0019,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0020,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0021,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0022,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0023,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0024,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0025,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0026,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0027,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0028,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0029,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0030,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0031,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0000,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0001,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0002,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0003,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0004,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0005,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0006,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0007,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0008,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0009,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0010,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0011,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0012,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0013,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0014,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0015,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0016,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0017,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0018,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0019,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0020,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0021,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0022,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0023,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0024,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0025,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0026,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0027,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0028,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0029,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0030,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0031,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0032,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0033,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0034,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0035,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0036,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0037,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0038,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0039,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_original_pink_suncare_r0040,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0000,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0001,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0002,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0003,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0004,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0005,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0006,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0007,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0008,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0009,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0010,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0011,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0012,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0013,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0014,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0015,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0016,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0017,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0018,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0019,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0020,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0021,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0022,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0023,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0024,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0025,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0026,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0027,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0028,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0029,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0030,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0031,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0032,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0033,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0034,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0035,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_rebalancing_probiotic_bodycare_r0036,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0000,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0001,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0002,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0003,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0004,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0005,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0006,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0007,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0008,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0009,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0010,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0011,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0012,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0013,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0014,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0015,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0016,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0017,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0018,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0019,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0020,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0021,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0022,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0023,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0024,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0025,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0026,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0027,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0028,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0029,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0030,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0031,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0032,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0033,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0034,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0035,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0036,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0037,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0038,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0039,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0040,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0041,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0042,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0043,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0044,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0045,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0046,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0047,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0048,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0049,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0050,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cexfoliationg_body_scrub_and_massage_bar_r0051,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0000,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0001,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0002,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0003,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0004,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0005,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0006,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0007,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0008,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0009,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0010,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0011,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0012,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0013,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0014,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0015,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0016,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0017,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0018,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0019,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
fy26_cnourishing_solid_body_oil_stick_r0020,FY26,Witty Optimist_S&G FY26 Verbatims V2.xlsx,UK,,,
