Market,Sentiment,Concept,Verbatim
UK,Dislikes,S&G Original Pink Suncare,Price?
UK,Dislikes,S&G Original Pink Suncare,"I'm not convinced it will be as effective as other products. Sun protection should be first priority, not how nice it smells"
UK,Dislikes,S&G Original Pink Suncare,It sounds like it smells god
UK,Dislikes,S&G Original Pink Suncare,The brand
UK,Dislikes,S&G Original Pink Suncare,Too cluttered
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,The word probiotic
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Label isn’t that eye catching
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Nothing
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Would answer after use
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Dislike the add
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,"Not sure how much I believe probiotics can survive in the products to make a difference to the skin, and whether applying topically will actually do anything. Seems to be playing on the trend of 'mental health awareness' like most brands now."
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,I feel there is too much writing. Less is more. You can have all the information in fewer words. It makes me not want to be bothered to read all this
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,The brand
UK,Likes,S&G Be Me Body Sprays,It’s soap & glory
UK,Likes,S&G Be Me Body Sprays,That the scent is individual to your own body. Everyone will smell different.
UK,Likes,S&G Be Me Body Sprays,The interesting fragrances
UK,Likes,S&G Be Me Body Sprays,Seems a little different
UK,Likes,S&G Be Me Body Sprays,It's unique and a novelty
UK,Likes,S&G Be Me Body Sprays,Vegan
UK,Likes,S&G Be Me Body Sprays,three different mists
UK,Likes,S&G Be Me Body Sprays,Colourful label
UK,Likes,S&G Be Me Body Sprays,smell and vegan
UK,Likes,S&G Be Me Body Sprays,Looks promising for a unique scent
UK,Likes,S&G Be Me Body Sprays,A long lasting fragrance at a cut price level.
UK,Likes,S&G Be Me Body Sprays,"I like the idea of a perfume that might suit me, not many do."
UK,Likes,S&G Be Me Body Sprays,Floral
UK,Likes,S&G Be Me Body Sprays,From a trusted brand name and sounds like it would be a great present idea too
UK,Likes,S&G Be Me Body Sprays,scent
UK,Likes,S&G Be Me Body Sprays,Looks and sounds different products
UK,Likes,S&G Be Me Body Sprays,The lime scent
UK,Likes,S&G Be Me Body Sprays,I like the feel of the ad
UK,Likes,S&G Be Me Body Sprays,Vegan and designed specifically for women
UK,Likes,S&G Be Me Body Sprays,Like that it seems to be playing off nature with the images and scents. Like that it feels personal
UK,Likes,S&G Be Me Body Sprays,All very exciting and appealing
UK,Likes,S&G Be Me Body Sprays,Different scents available to try. Each mist also includes and ingredient to react with your skin and make the scent unique to you.
UK,Likes,S&G Be Me Body Sprays,That it adapts to your skin
UK,Likes,S&G Be Me Body Sprays,Unique smell
UK,Likes,S&G Be Me Body Sprays,Changes scent
UK,Likes,S&G Be Me Body Sprays,"It’s good for your skin, frangance, vegan friendly"
UK,Likes,S&G Be Me Body Sprays,"A repairing, rejuvenating probiotic shower gel"
UK,Likes,S&G Be Me Body Sprays,Layout
UK,Likes,S&G Be Me Body Sprays,It's something new and different.
UK,Likes,S&G Be Me Body Sprays,Not much I liked
UK,Likes,S&G Be Me Body Sprays,3 in 1
UK,Likes,S&G Be Me Body Sprays,Layout is good. Personalised scent
UK,Likes,S&G Be Me Body Sprays,All of it
UK,Likes,S&G Be Me Body Sprays,All of it!! It sounds great!
UK,Likes,S&G Be Me Body Sprays,Its unique
UK,Likes,S&G Be Me Body Sprays,Seems a nice idea if that's your price range and like fragrance
UK,Likes,S&G Be Me Body Sprays,Fresh new and would love to try it x
UK,Likes,S&G Be Me Body Sprays,would have a lovely scent
UK,Likes,S&G Be Me Body Sprays,"skin protection, amazing scent and moisturing, not tested on animals, vegan friendly"
UK,Likes,S&G Be Me Body Sprays,It looks like it offers a good choice with 3 different scents
UK,Likes,S&G Embrace Me Bodycare,Pics & info
UK,Likes,S&G Embrace Me Bodycare,I like how it helps you mentally
UK,Likes,S&G Embrace Me Bodycare,100% vegan
UK,Likes,S&G Embrace Me Bodycare,how it helps with the appearance of scars and stretch marks
UK,Likes,S&G Embrace Me Bodycare,Colourful label
UK,Likes,S&G Embrace Me Bodycare,smell and vegan
UK,Likes,S&G Embrace Me Bodycare,Herbal ingredients
UK,Likes,S&G Embrace Me Bodycare,Like the idea scar & skin tone
UK,Likes,S&G Embrace Me Bodycare,I like the ingredients and that it is very versatile.
UK,Likes,S&G Embrace Me Bodycare,the different products
UK,Likes,S&G Embrace Me Bodycare,I like the idea it is tapping to skin concerns that other companies do not go near. Cramping bath soak sounds lovely as does the cool mist.
UK,Likes,S&G Embrace Me Bodycare,It looks to be luxurious and nice to use and I would expect it to smell pleasant.
UK,Likes,S&G Embrace Me Bodycare,From a name which makes great products
UK,Likes,S&G Embrace Me Bodycare,I like everything about this idea.
UK,Likes,S&G Embrace Me Bodycare,sounds really healthy for your skin
UK,Likes,S&G Embrace Me Bodycare,That it supports hormonal changes in woman body
UK,Likes,S&G Embrace Me Bodycare,Its vegan
UK,Likes,S&G Embrace Me Bodycare,Sounds perfect for women. I like the fact it meets women's needs.
UK,Likes,S&G Embrace Me Bodycare,The range
UK,Likes,S&G Embrace Me Bodycare,The idea is fresh and inviting. It is tailored to the needs of the skin and sensitive areas without any ingredients thay could be harmful to the skin long term.
UK,Likes,S&G Embrace Me Bodycare,Ph balanced senstive wash
UK,Likes,S&G Embrace Me Bodycare,Love the idea of help with scars
UK,Likes,S&G Embrace Me Bodycare,"Various products to choose from, sounds like it smells nice, good for your skin"
UK,Likes,S&G Embrace Me Bodycare,All
UK,Likes,S&G Embrace Me Bodycare,It's kind to skin
UK,Likes,S&G Embrace Me Bodycare,It adjusts to skin needs
UK,Likes,S&G Embrace Me Bodycare,All of it. Great concept
UK,Likes,S&G Embrace Me Bodycare,Safe product to use
UK,Likes,S&G Embrace Me Bodycare,That is supports a woman's body and change
UK,Likes,S&G Embrace Me Bodycare,All of the things that i would live to try x
UK,Likes,S&G Embrace Me Bodycare,pampering products
UK,Likes,S&G Embrace Me Bodycare,"I love soap and glory, it smells amazing and leaves your skin super soft and nurished"
UK,Likes,S&G Original Pink Suncare,Pics
UK,Likes,S&G Original Pink Suncare,That it’s not sticky and hydrates your body.
UK,Likes,S&G Original Pink Suncare,That it is non sticky and comfortable on the skin and the fact it is vegan
UK,Likes,S&G Original Pink Suncare,Vegan
UK,Likes,S&G Original Pink Suncare,vegan friendly
UK,Likes,S&G Original Pink Suncare,"Most sun lotions smell the same, this promises to be different"
UK,Likes,S&G Original Pink Suncare,Herbel ingredients
UK,Likes,S&G Original Pink Suncare,I like the idea
UK,Likes,S&G Original Pink Suncare,Its vegan
UK,Likes,S&G Original Pink Suncare,the balance
UK,Likes,S&G Original Pink Suncare,Sounds like it smells nice and would give good hydration.
UK,Likes,S&G Original Pink Suncare,It gives the impression of being a more luxurious sun protection product.
UK,Likes,S&G Original Pink Suncare,spf30
UK,Likes,S&G Original Pink Suncare,I like everything about this idea.
UK,Likes,S&G Original Pink Suncare,It’s non sticky and looks like it could smell lovely
UK,Likes,S&G Original Pink Suncare,I imagine with the ingredients that it will smell really nice
UK,Likes,S&G Original Pink Suncare,The fact that is vegan
UK,Likes,S&G Original Pink Suncare,vegan and sun friendly
UK,Likes,S&G Original Pink Suncare,"A daily SPF that isn't going to feel greasy, super smelly (that standard sunscreen smell) or clog your skin when wearing it."
UK,Likes,S&G Original Pink Suncare,The range
UK,Likes,S&G Original Pink Suncare,Very appealing
UK,Likes,S&G Original Pink Suncare,Is it good for the skin and doesnt leave you feeling greasy and sticky like some other brands of suncare.
UK,Likes,S&G Original Pink Suncare,Everything
UK,Likes,S&G Original Pink Suncare,Sun protection spary
UK,Likes,S&G Original Pink Suncare,Might encourage more people to protect themselves from the sun
UK,Likes,S&G Original Pink Suncare,SPF a brilliant idea
UK,Likes,S&G Original Pink Suncare,Dermatrogicaly proven
UK,Likes,S&G Original Pink Suncare,Not tested on animals
UK,Likes,S&G Original Pink Suncare,"non clogging, nice smelling and light sunscreen"
UK,Likes,S&G Original Pink Suncare,All
UK,Likes,S&G Original Pink Suncare,Liked the idea of non sticky sun cream thats easy to put on
UK,Likes,S&G Original Pink Suncare,The smell and give sun protection
UK,Likes,S&G Original Pink Suncare,That's its not sticky
UK,Likes,S&G Original Pink Suncare,I imagine would smell nice and says it's not sticky
UK,Likes,S&G Original Pink Suncare,All of it
UK,Likes,S&G Original Pink Suncare,I love tge sound of it all and would love to use it!
UK,Likes,S&G Original Pink Suncare,"novel idea, protects skin, natural"
UK,Likes,S&G Original Pink Suncare,Good looks
UK,Likes,S&G Original Pink Suncare,"can imagine how amazing these smells on your skin, big soap and glory fan"
UK,Likes,S&G Original Pink Suncare,Great for my skin but will protect from the sun with the SPF 30 protection
UK,Likes,S&G Rebalancing Probiotic Bodycare,That is taylor made for the individual
UK,Likes,S&G Rebalancing Probiotic Bodycare,The products seem innovative
UK,Likes,S&G Rebalancing Probiotic Bodycare,the creamy gentle body scrub
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like the fragrance
UK,Likes,S&G Rebalancing Probiotic Bodycare,It promises to be gentle on skin
UK,Likes,S&G Rebalancing Probiotic Bodycare,Good sun care
UK,Likes,S&G Rebalancing Probiotic Bodycare,Would answer after use
UK,Likes,S&G Rebalancing Probiotic Bodycare,Multi functional
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like that it is gentle but effective
UK,Likes,S&G Rebalancing Probiotic Bodycare,Love a body scrub!
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like the idea
UK,Likes,S&G Rebalancing Probiotic Bodycare,New fresh fragrance
UK,Likes,S&G Rebalancing Probiotic Bodycare,the combination of practical and luxury
UK,Likes,S&G Rebalancing Probiotic Bodycare,I have heard more about the skin biome recently and would certainly give this a go.
UK,Likes,S&G Rebalancing Probiotic Bodycare,From a name i know and like and sounds pampering and interesting
UK,Likes,S&G Rebalancing Probiotic Bodycare,vitamins added
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like everything about this idea.
UK,Likes,S&G Rebalancing Probiotic Bodycare,New smells and liking the advert
UK,Likes,S&G Rebalancing Probiotic Bodycare,Sounds more caring for your skin
UK,Likes,S&G Rebalancing Probiotic Bodycare,Gentle cleansing that isn't going to harm the skin natural ph.
UK,Likes,S&G Rebalancing Probiotic Bodycare,good for sensitive skin
UK,Likes,S&G Rebalancing Probiotic Bodycare,Hypoallegenic
UK,Likes,S&G Rebalancing Probiotic Bodycare,All interesting
UK,Likes,S&G Rebalancing Probiotic Bodycare,Good for my skin
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like everything on this idea and can't wait to try it
UK,Likes,S&G Rebalancing Probiotic Bodycare,Gentle
UK,Likes,S&G Rebalancing Probiotic Bodycare,The shower gel
UK,Likes,S&G Rebalancing Probiotic Bodycare,"With the correct care and attention, this product could be a gane changer for people with skin issues"
UK,Likes,S&G Rebalancing Probiotic Bodycare,Like the idea of having healthier skin with different benefits in the product
UK,Likes,S&G Rebalancing Probiotic Bodycare,Probiotic bodycare
UK,Likes,S&G Rebalancing Probiotic Bodycare,All of it
UK,Likes,S&G Rebalancing Probiotic Bodycare,All of it!
UK,Likes,S&G Rebalancing Probiotic Bodycare,The idea itself
UK,Likes,S&G Rebalancing Probiotic Bodycare,Everything
UK,Likes,S&G Rebalancing Probiotic Bodycare,The chat
UK,Likes,S&G Rebalancing Probiotic Bodycare,Cool stylish
UK,Likes,S&G Rebalancing Probiotic Bodycare,Cleanses and protects skin.
US,Dislikes,S&G Be Me Body Sprays Us,nothing
US,Dislikes,S&G Be Me Body Sprays Us,to much information listed the key points get lost in the ad
US,Dislikes,S&G Be Me Body Sprays Us,"The ""magic"" ingredient"
US,Dislikes,S&G Be Me Body Sprays Us,looks expensive.
US,Dislikes,S&G Be Me Body Sprays Us,"I absolutely hate scented products and wish we could get rid of all perfume, cologne, and every other headache-inducing, nausea-inducing scent."
US,Dislikes,S&G Be Me Body Sprays Us,I don't see anything to dislike.
US,Dislikes,S&G Be Me Body Sprays Us,The pictures on the ad
US,Dislikes,S&G Be Me Body Sprays Us,No thing
US,Dislikes,S&G Be Me Body Sprays Us,I don’t like the graphics and pink ovals at the bottom
US,Dislikes,S&G Be Me Body Sprays Us,Don't use body sprays
US,Dislikes,S&G Be Me Body Sprays Us,hghmg
US,Dislikes,S&G Be Me Body Sprays Us,not a fan of the flavors
US,Dislikes,S&G Be Me Body Sprays Us,No Thing
US,Dislikes,S&G Be Me Body Sprays Us,Limited fragrance types
US,Dislikes,S&G Be Me Body Sprays Us,Nothing
US,Dislikes,S&G Embrace Me Bodycare Us,I like every thing abiut it
US,Dislikes,S&G Embrace Me Bodycare Us,nothing
US,Dislikes,S&G Embrace Me Bodycare Us,Its not what I need
US,Dislikes,S&G Embrace Me Bodycare Us,I just don't think it would really apply to me
US,Dislikes,S&G Embrace Me Bodycare Us,"It sounds like it might be fragranced, which would make it a hard pass for me. I also dislike that ""every day"" is misspelled as ""everyday"" in te ad, since spelling and grammatical errors make an ad less credible."
US,Dislikes,S&G Embrace Me Bodycare Us,Nothing to dislike.
US,Dislikes,S&G Embrace Me Bodycare Us,The images in the ad
US,Dislikes,S&G Embrace Me Bodycare Us,Some of the graphics and limited descriptive words
US,Dislikes,S&G Embrace Me Bodycare Us,Unattractive
US,Dislikes,S&G Embrace Me Bodycare Us,nnghnhg
US,Dislikes,S&G Embrace Me Bodycare Us,No thing
US,Dislikes,S&G Embrace Me Bodycare Us,doesn't say how many ounces per bottle
US,Dislikes,S&G Embrace Me Bodycare Us,The scent description makes me worry that I may not like it.
US,Dislikes,S&G Embrace Me Bodycare Us,"I don't think women should be pressured to ""fix"" their scars or discolored spots or stretch marks"
US,Dislikes,S&G Embrace Me Bodycare Us,Nothing
US,Dislikes,S&G Embrace Me Bodycare Us,So far n9thing
US,Dislikes,S&G Embrace Me Bodycare Us,"The vegan part, I just find that so unnecessary"
US,Dislikes,S&G Embrace Me Bodycare Us,I think it would cost a lot
US,Dislikes,S&G Original Pink Suncare Us,I like every thing about it
US,Dislikes,S&G Original Pink Suncare Us,No
US,Dislikes,S&G Original Pink Suncare Us,not familiar with the brand
US,Dislikes,S&G Original Pink Suncare Us,Looks expensive
US,Dislikes,S&G Original Pink Suncare Us,Seems like it will be pricey
US,Dislikes,S&G Original Pink Suncare Us,it looks expensive.
US,Dislikes,S&G Original Pink Suncare Us,"I hate that it is fragranced, and I don't need a sunscreen since I use a broad-spectrum fragrance-free SPF foundation every day."
US,Dislikes,S&G Original Pink Suncare Us,"maybe the scent, I don't care for heavy scents"
US,Dislikes,S&G Original Pink Suncare Us,It has aloe
US,Dislikes,S&G Original Pink Suncare Us,fnfn
US,Dislikes,S&G Original Pink Suncare Us,No thing
US,Dislikes,S&G Original Pink Suncare Us,SPF is low for my needs
US,Dislikes,S&G Original Pink Suncare Us,Probiotics in a skin care product aren't necessary.
US,Dislikes,S&G Original Pink Suncare Us,Nothing
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,I like every thing about it
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Nothing
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Its oky
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,not familiar with the brand
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,It looks expensive
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,looks expensive.
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,There's nothing to dislike.
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,The pink ovals
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Everything
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,I think it would be drying despite description.
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Just not familiar with the brand makes me slightly hesitate
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Seems basic almost like lotion.
US,Likes,S&G Be Me Body Sprays Us,Benefits for my body
US,Likes,S&G Be Me Body Sprays Us,everything
US,Likes,S&G Be Me Body Sprays Us,I like that it adapts to different skin.
US,Likes,S&G Be Me Body Sprays Us,Citrus and floral
US,Likes,S&G Be Me Body Sprays Us,Ifeel confident about him
US,Likes,S&G Be Me Body Sprays Us,very informative
US,Likes,S&G Be Me Body Sprays Us,It adapts to you skin for a unique scent.
US,Likes,S&G Be Me Body Sprays Us,I like the idea of the scents being me.
US,Likes,S&G Be Me Body Sprays Us,Informative
US,Likes,S&G Be Me Body Sprays Us,I liked everything about the product
US,Likes,S&G Be Me Body Sprays Us,The presentation and the details
US,Likes,S&G Be Me Body Sprays Us,Sent
US,Likes,S&G Be Me Body Sprays Us,looks fun.
US,Likes,S&G Be Me Body Sprays Us,variety of products
US,Likes,S&G Be Me Body Sprays Us,"I really like that it is vegan, and if I were absolutely forced to wear a fragrance, I like that there are gourmand ones in this line because those are less nauseating than florals and other noxious and irritating scents."
US,Likes,S&G Be Me Body Sprays Us,Again the colors
US,Likes,S&G Be Me Body Sprays Us,I really like the concept of being able to have a perfume that smells more unique on me.
US,Likes,S&G Be Me Body Sprays Us,Scent adapting
US,Likes,S&G Be Me Body Sprays Us,Fine mist and long lasting
US,Likes,S&G Be Me Body Sprays Us,All thing
US,Likes,S&G Be Me Body Sprays Us,The personalization of the scent
US,Likes,S&G Be Me Body Sprays Us,It adapts
US,Likes,S&G Be Me Body Sprays Us,this is a new scent and prodcuts
US,Likes,S&G Be Me Body Sprays Us,Adapts to your skin
US,Likes,S&G Be Me Body Sprays Us,vghn
US,Likes,S&G Be Me Body Sprays Us,That it adapts to your skin
US,Likes,S&G Be Me Body Sprays Us,not expensive
US,Likes,S&G Be Me Body Sprays Us,It all
US,Likes,S&G Be Me Body Sprays Us,Vegan
US,Likes,S&G Be Me Body Sprays Us,New protection in a brand I kike
US,Likes,S&G Be Me Body Sprays Us,Scents
US,Likes,S&G Be Me Body Sprays Us,I like that it’s clean and the smell works w your body.
US,Likes,S&G Be Me Body Sprays Us,the novelty of the high notes being dependent on your own body chemistry
US,Likes,S&G Be Me Body Sprays Us,Love soap and glory products
US,Likes,S&G Be Me Body Sprays Us,It's vegan
US,Likes,S&G Be Me Body Sprays Us,Good
US,Likes,S&G Be Me Body Sprays Us,Body spray
US,Likes,S&G Be Me Body Sprays Us,Clean
US,Likes,S&G Be Me Body Sprays Us,i like it gives me a long lasting fine fragrance experience without a premium price tag.  this is very ideal to me.
US,Likes,S&G Be Me Body Sprays Us,The franance
US,Likes,S&G Be Me Body Sprays Us,Everything
US,Likes,S&G Be Me Body Sprays Us,That its dermatologist approved
US,Likes,S&G Be Me Body Sprays Us,I like the different fragrance
US,Likes,S&G Be Me Body Sprays Us,100% vegan floral
US,Likes,S&G Be Me Body Sprays Us,100% vegan
US,Likes,S&G Be Me Body Sprays Us,Cool
US,Likes,S&G Be Me Body Sprays Us,I liked that the scent is customizable to me. It is very different from other products.
US,Likes,S&G Be Me Body Sprays Us,New
US,Likes,S&G Be Me Body Sprays Us,I love that everyone has a different scent when using it.
US,Likes,S&G Be Me Body Sprays Us,I love the choices you have
US,Likes,S&G Be Me Body Sprays Us,It's very good idea
US,Likes,S&G Be Me Body Sprays Us,Its  a lasting  scent
US,Likes,S&G Embrace Me Bodycare Us,I like every thing qbout it
US,Likes,S&G Embrace Me Bodycare Us,color
US,Likes,S&G Embrace Me Bodycare Us,All the ways it benefits the body
US,Likes,S&G Embrace Me Bodycare Us,I like the Whole ad
US,Likes,S&G Embrace Me Bodycare Us,everything
US,Likes,S&G Embrace Me Bodycare Us,Clean and vegan
US,Likes,S&G Embrace Me Bodycare Us,Feree good
US,Likes,S&G Embrace Me Bodycare Us,Supports women's changing bodies.
US,Likes,S&G Embrace Me Bodycare Us,The skin protection
US,Likes,S&G Embrace Me Bodycare Us,Informative
US,Likes,S&G Embrace Me Bodycare Us,I liked everything about the idea
US,Likes,S&G Embrace Me Bodycare Us,It sounds perfect for people like me
US,Likes,S&G Embrace Me Bodycare Us,It’s really great
US,Likes,S&G Embrace Me Bodycare Us,variety of products
US,Likes,S&G Embrace Me Bodycare Us,The scar and skin tone oil sounds intriguing and I like that this line is vegan.
US,Likes,S&G Embrace Me Bodycare Us,I like that the products don't contain ingredients I like to avoid & that they aren't tested on animals.  All 4 products address relevant issues I have.
US,Likes,S&G Embrace Me Bodycare Us,I lik d how they used pink in the flyer
US,Likes,S&G Embrace Me Bodycare Us,The claims made by the product
US,Likes,S&G Embrace Me Bodycare Us,Everything
US,Likes,S&G Embrace Me Bodycare Us,PH balance and scar treatment
US,Likes,S&G Embrace Me Bodycare Us,Cool fix
US,Likes,S&G Embrace Me Bodycare Us,That it's specifically made for women and 100 percent vegan.
US,Likes,S&G Embrace Me Bodycare Us,lhr
US,Likes,S&G Embrace Me Bodycare Us,Body wash
US,Likes,S&G Embrace Me Bodycare Us,It’s vegan
US,Likes,S&G Embrace Me Bodycare Us,cooling
US,Likes,S&G Embrace Me Bodycare Us,it all
US,Likes,S&G Embrace Me Bodycare Us,PH balanced
US,Likes,S&G Embrace Me Bodycare Us,no animal testing
US,Likes,S&G Embrace Me Bodycare Us,I like that this is vegan. I like that this uses natural ingredients.
US,Likes,S&G Embrace Me Bodycare Us,"Clea, vegan, ph balanced"
US,Likes,S&G Embrace Me Bodycare Us,Attends to women’s monthly needs
US,Likes,S&G Embrace Me Bodycare Us,I'm always interested in treating pain from cramps
US,Likes,S&G Embrace Me Bodycare Us,That its a new product from a line i like using
US,Likes,S&G Embrace Me Bodycare Us,Hemp bath soap
US,Likes,S&G Embrace Me Bodycare Us,Excellent
US,Likes,S&G Embrace Me Bodycare Us,Natural
US,Likes,S&G Embrace Me Bodycare Us,It helps with ph balance
US,Likes,S&G Embrace Me Bodycare Us,Love how it helps get skin back to normal after having kids. It really does a number on a woman's skin
US,Likes,S&G Embrace Me Bodycare Us,L liked that it is natural and would help my sensitive skin.
US,Likes,S&G Embrace Me Bodycare Us,It vegan
US,Likes,S&G Embrace Me Bodycare Us,The age group in which this product is relevant to
US,Likes,S&G Embrace Me Bodycare Us,For all body types
US,Likes,S&G Embrace Me Bodycare Us,It helps improve the appearance of scars
US,Likes,S&G Embrace Me Bodycare Us,It's new
US,Likes,S&G Embrace Me Bodycare Us,I like the different variations based on times of the month
US,Likes,S&G Embrace Me Bodycare Us,"I like so much the package of benefits like PH sensitive balanced, sensorial hemp bath, scar and"
US,Likes,S&G Embrace Me Bodycare Us,I love the idea and concept
US,Likes,S&G Embrace Me Bodycare Us,Very good
US,Likes,S&G Original Pink Suncare Us,Everything
US,Likes,S&G Original Pink Suncare Us,I like every thing about it
US,Likes,S&G Original Pink Suncare Us,I love soap and glory products so I would be excited to see how this dog product would work
US,Likes,S&G Original Pink Suncare Us,everything
US,Likes,S&G Original Pink Suncare Us,I love the suncare idea just the face that it's dermatologist tested is a win for me.
US,Likes,S&G Original Pink Suncare Us,Alovely
US,Likes,S&G Original Pink Suncare Us,informative
US,Likes,S&G Original Pink Suncare Us,The skin protection
US,Likes,S&G Original Pink Suncare Us,Informative
US,Likes,S&G Original Pink Suncare Us,It looks relaxing
US,Likes,S&G Original Pink Suncare Us,It looks very glowy
US,Likes,S&G Original Pink Suncare Us,Its beautiful
US,Likes,S&G Original Pink Suncare Us,"sounds like it would meet my needs, dermatology approved"
US,Likes,S&G Original Pink Suncare Us,it looks like fun.
US,Likes,S&G Original Pink Suncare Us,variety products
US,Likes,S&G Original Pink Suncare Us,I like that it is vegan.
US,Likes,S&G Original Pink Suncare Us,The colors and the citrus spray
US,Likes,S&G Original Pink Suncare Us,"The scent, non greasy"
US,Likes,S&G Original Pink Suncare Us,Non pore clogging and not sticky
US,Likes,S&G Original Pink Suncare Us,Good
US,Likes,S&G Original Pink Suncare Us,That it smells nice
US,Likes,S&G Original Pink Suncare Us,this is a fun new prodcuts
US,Likes,S&G Original Pink Suncare Us,Suncare
US,Likes,S&G Original Pink Suncare Us,That it's dermatologist tested.
US,Likes,S&G Original Pink Suncare Us,bfgnf
US,Likes,S&G Original Pink Suncare Us,It's vegan
US,Likes,S&G Original Pink Suncare Us,Offers 5 star UV protection
US,Likes,S&G Original Pink Suncare Us,it all
US,Likes,S&G Original Pink Suncare Us,very healthy attributes
US,Likes,S&G Original Pink Suncare Us,I like the ingredients.
US,Likes,S&G Original Pink Suncare Us,THE CLEAN PART
US,Likes,S&G Original Pink Suncare Us,the simplicity and feminity of it
US,Likes,S&G Original Pink Suncare Us,I like that it’s vegan and also has a good smell and isn’t thick and sticky.
US,Likes,S&G Original Pink Suncare Us,"sun protection is a necessity in my case, I'm very pale and sun-sensitive so I use sunscreen every time I go out during the day, but I hate the smell of it"
US,Likes,S&G Original Pink Suncare Us,i like it provides extra benefits in it which is different from the regular one. and it has a good scent which will make me feel better about it.
US,Likes,S&G Original Pink Suncare Us,That's it vegan sl it has to be better for you.
US,Likes,S&G Original Pink Suncare Us,That it's a sunscreen and a moisturizer lotion as well
US,Likes,S&G Original Pink Suncare Us,Dermatologist tested and approved. also spf 30
US,Likes,S&G Original Pink Suncare Us,Its vegan
US,Likes,S&G Original Pink Suncare Us,"The balance of the hormonal changes and the SPF moisturizer factor, that is very much important to me for my skin"
US,Likes,S&G Original Pink Suncare Us,100% vegan
US,Likes,S&G Original Pink Suncare Us,Great product
US,Likes,S&G Original Pink Suncare Us,I like that doesn’t clog your pores.
US,Likes,S&G Original Pink Suncare Us,Cool
US,Likes,S&G Original Pink Suncare Us,I liked sun protection in easy to incorporate lotion
US,Likes,S&G Original Pink Suncare Us,"it is an original pink sunscreen, with a great package with SPF 30 and sun refresh gel ,"
