Market,Sentiment,Concept,Verbatim,Period
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Would answer after use,FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Dislike the add,FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,"Not sure how much I believe probiotics can survive in the products to make a difference to the skin, and whether applying topically will actually do anything. Seems to be playing on the trend of 'mental health awareness' like most brands now.",FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,I feel there is too much writing. Less is more. You can have all the information in fewer words. It makes me not want to be bothered to read all this,FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,The brand,FY25
UK,Likes,S&G Be Me Body Sprays,It’s soap & glory,FY25
UK,Likes,S&G Be Me Body Sprays,That the scent is individual to your own body. Everyone will smell different.,FY25
UK,Likes,S&G Be Me Body Sprays,The interesting fragrances,FY25
UK,Likes,S&G Be Me Body Sprays,Seems a little different,FY25
UK,Likes,S&G Be Me Body Sprays,It's unique and a novelty,FY25
UK,Likes,S&G Be Me Body Sprays,Vegan,FY25
UK,Likes,S&G Be Me Body Sprays,three different mists,FY25
UK,Likes,S&G Be Me Body Sprays,Colourful label,FY25
UK,Likes,S&G Be Me Body Sprays,smell and vegan,FY25
UK,Likes,S&G Be Me Body Sprays,Looks promising for a unique scent,FY25
UK,Likes,S&G Be Me Body Sprays,A long lasting fragrance at a cut price level.,FY25
UK,Likes,S&G Be Me Body Sprays,"I like the idea of a perfume that might suit me, not many do.",FY25
UK,Likes,S&G Be Me Body Sprays,Floral,FY25
UK,Likes,S&G Be Me Body Sprays,From a trusted brand name and sounds like it would be a great present idea too,FY25
UK,Likes,S&G Be Me Body Sprays,scent,FY25
UK,Likes,S&G Be Me Body Sprays,Looks and sounds different products,FY25
UK,Likes,S&G Be Me Body Sprays,The lime scent,FY25
UK,Likes,S&G Be Me Body Sprays,I like the feel of the ad,FY25
UK,Likes,S&G Be Me Body Sprays,Vegan and designed specifically for women,FY25
UK,Likes,S&G Be Me Body Sprays,Like that it seems to be playing off nature with the images and scents. Like that it feels personal,FY25
UK,Likes,S&G Be Me Body Sprays,All very exciting and appealing,FY25
UK,Likes,S&G Be Me Body Sprays,Different scents available to try. Each mist also includes and ingredient to react with your skin and make the scent unique to you.,FY25
UK,Likes,S&G Be Me Body Sprays,That it adapts to your skin,FY25
UK,Likes,S&G Be Me Body Sprays,Unique smell,FY25
UK,Likes,S&G Be Me Body Sprays,Changes scent,FY25
UK,Likes,S&G Be Me Body Sprays,"It’s good for your skin, frangance, vegan friendly",FY25
UK,Likes,S&G Be Me Body Sprays,"A repairing, rejuvenating probiotic shower gel",FY25
UK,Likes,S&G Be Me Body Sprays,Layout,FY25
UK,Likes,S&G Be Me Body Sprays,It's something new and different.,FY25
UK,Likes,S&G Be Me Body Sprays,Not much I liked,FY25
UK,Likes,S&G Be Me Body Sprays,3 in 1,FY25
UK,Likes,S&G Be Me Body Sprays,Layout is good. Personalised scent,FY25
UK,Likes,S&G Be Me Body Sprays,All of it,FY25
UK,Likes,S&G Be Me Body Sprays,All of it!! It sounds great!,FY25
UK,Likes,S&G Be Me Body Sprays,Its unique,FY25
UK,Likes,S&G Be Me Body Sprays,Seems a nice idea if that's your price range and like fragrance,FY25
UK,Likes,S&G Be Me Body Sprays,Fresh new and would love to try it x,FY25
UK,Likes,S&G Be Me Body Sprays,would have a lovely scent,FY25
UK,Likes,S&G Be Me Body Sprays,"skin protection, amazing scent and moisturing, not tested on animals, vegan friendly",FY25
UK,Likes,S&G Be Me Body Sprays,It looks like it offers a good choice with 3 different scents,FY25
UK,Likes,S&G Embrace Me Bodycare,Pics & info,FY25
UK,Likes,S&G Embrace Me Bodycare,I like how it helps you mentally,FY25
UK,Likes,S&G Embrace Me Bodycare,100% vegan,FY25
UK,Likes,S&G Embrace Me Bodycare,how it helps with the appearance of scars and stretch marks,FY25
UK,Likes,S&G Embrace Me Bodycare,Colourful label,FY25
UK,Likes,S&G Embrace Me Bodycare,smell and vegan,FY25
UK,Likes,S&G Embrace Me Bodycare,Herbal ingredients,FY25
UK,Likes,S&G Embrace Me Bodycare,Like the idea scar & skin tone,FY25
UK,Likes,S&G Embrace Me Bodycare,I like the ingredients and that it is very versatile.,FY25
UK,Likes,S&G Embrace Me Bodycare,the different products,FY25
UK,Likes,S&G Embrace Me Bodycare,I like the idea it is tapping to skin concerns that other companies do not go near. Cramping bath soak sounds lovely as does the cool mist.,FY25
UK,Likes,S&G Embrace Me Bodycare,It looks to be luxurious and nice to use and I would expect it to smell pleasant.,FY25
UK,Likes,S&G Embrace Me Bodycare,From a name which makes great products,FY25
UK,Likes,S&G Embrace Me Bodycare,I like everything about this idea.,FY25
UK,Likes,S&G Embrace Me Bodycare,sounds really healthy for your skin,FY25
UK,Likes,S&G Embrace Me Bodycare,That it supports hormonal changes in woman body,FY25
UK,Likes,S&G Embrace Me Bodycare,Its vegan,FY25
UK,Likes,S&G Embrace Me Bodycare,Sounds perfect for women. I like the fact it meets women's needs.,FY25
UK,Likes,S&G Embrace Me Bodycare,The range,FY25
UK,Likes,S&G Embrace Me Bodycare,The idea is fresh and inviting. It is tailored to the needs of the skin and sensitive areas without any ingredients thay could be harmful to the skin long term.,FY25
UK,Likes,S&G Embrace Me Bodycare,Ph balanced senstive wash,FY25
UK,Likes,S&G Embrace Me Bodycare,Love the idea of help with scars,FY25
UK,Likes,S&G Embrace Me Bodycare,"Various products to choose from, sounds like it smells nice, good for your skin",FY25
UK,Likes,S&G Embrace Me Bodycare,All,FY25
UK,Likes,S&G Embrace Me Bodycare,It's kind to skin,FY25
UK,Likes,S&G Embrace Me Bodycare,It adjusts to skin needs,FY25
UK,Likes,S&G Embrace Me Bodycare,All of it. Great concept,FY25
UK,Likes,S&G Embrace Me Bodycare,Safe product to use,FY25
UK,Likes,S&G Embrace Me Bodycare,That is supports a woman's body and change,FY25
UK,Likes,S&G Embrace Me Bodycare,All of the things that i would live to try x,FY25
UK,Likes,S&G Embrace Me Bodycare,pampering products,FY25
UK,Likes,S&G Embrace Me Bodycare,"I love soap and glory, it smells amazing and leaves your skin super soft and nurished",FY25
UK,Likes,S&G Original Pink Suncare,Pics,FY25
UK,Likes,S&G Original Pink Suncare,That it’s not sticky and hydrates your body.,FY25
UK,Likes,S&G Original Pink Suncare,That it is non sticky and comfortable on the skin and the fact it is vegan,FY25
UK,Likes,S&G Original Pink Suncare,Vegan,FY25
UK,Likes,S&G Original Pink Suncare,vegan friendly,FY25
UK,Likes,S&G Original Pink Suncare,"Most sun lotions smell the same, this promises to be different",FY25
UK,Likes,S&G Original Pink Suncare,Herbel ingredients,FY25
UK,Likes,S&G Original Pink Suncare,I like the idea,FY25
UK,Likes,S&G Original Pink Suncare,Its vegan,FY25
UK,Likes,S&G Original Pink Suncare,the balance,FY25
UK,Likes,S&G Original Pink Suncare,Sounds like it smells nice and would give good hydration.,FY25
UK,Likes,S&G Original Pink Suncare,It gives the impression of being a more luxurious sun protection product.,FY25
UK,Likes,S&G Original Pink Suncare,spf30,FY25
UK,Likes,S&G Original Pink Suncare,I like everything about this idea.,FY25
UK,Likes,S&G Original Pink Suncare,It’s non sticky and looks like it could smell lovely,FY25
UK,Likes,S&G Original Pink Suncare,I imagine with the ingredients that it will smell really nice,FY25
UK,Likes,S&G Original Pink Suncare,The fact that is vegan,FY25
UK,Likes,S&G Original Pink Suncare,vegan and sun friendly,FY25
UK,Likes,S&G Original Pink Suncare,"A daily SPF that isn't going to feel greasy, super smelly (that standard sunscreen smell) or clog your skin when wearing it.",FY25
UK,Likes,S&G Original Pink Suncare,The range,FY25
UK,Likes,S&G Original Pink Suncare,Very appealing,FY25
UK,Likes,S&G Original Pink Suncare,Is it good for the skin and doesnt leave you feeling greasy and sticky like some other brands of suncare.,FY25
UK,Likes,S&G Original Pink Suncare,Everything,FY25
UK,Likes,S&G Original Pink Suncare,Sun protection spary,FY25
UK,Likes,S&G Original Pink Suncare,Might encourage more people to protect themselves from the sun,FY25
UK,Likes,S&G Original Pink Suncare,SPF a brilliant idea,FY25
UK,Likes,S&G Original Pink Suncare,Dermatrogicaly proven,FY25
UK,Likes,S&G Original Pink Suncare,Not tested on animals,FY25
UK,Likes,S&G Original Pink Suncare,"non clogging, nice smelling and light sunscreen",FY25
UK,Likes,S&G Original Pink Suncare,All,FY25
UK,Likes,S&G Original Pink Suncare,Liked the idea of non sticky sun cream thats easy to put on,FY25
UK,Likes,S&G Original Pink Suncare,The smell and give sun protection,FY25
UK,Likes,S&G Original Pink Suncare,That's its not sticky,FY25
UK,Likes,S&G Original Pink Suncare,I imagine would smell nice and says it's not sticky,FY25
UK,Likes,S&G Original Pink Suncare,All of it,FY25
UK,Likes,S&G Original Pink Suncare,I love tge sound of it all and would love to use it!,FY25
UK,Likes,S&G Original Pink Suncare,"novel idea, protects skin, natural",FY25
UK,Likes,S&G Original Pink Suncare,Good looks,FY25
UK,Likes,S&G Original Pink Suncare,"can imagine how amazing these smells on your skin, big soap and glory fan",FY25
UK,Likes,S&G Original Pink Suncare,Great for my skin but will protect from the sun with the SPF 30 protection,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,That is taylor made for the individual,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,The products seem innovative,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,the creamy gentle body scrub,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like the fragrance,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,It promises to be gentle on skin,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Good sun care,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Would answer after use,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Multi functional,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like that it is gentle but effective,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Love a body scrub!,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like the idea,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,New fresh fragrance,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,the combination of practical and luxury,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,I have heard more about the skin biome recently and would certainly give this a go.,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,From a name i know and like and sounds pampering and interesting,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,vitamins added,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like everything about this idea.,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,New smells and liking the advert,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Sounds more caring for your skin,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Gentle cleansing that isn't going to harm the skin natural ph.,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,good for sensitive skin,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Hypoallegenic,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,All interesting,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Good for my skin,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,I like everything on this idea and can't wait to try it,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Gentle,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,The shower gel,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,"With the correct care and attention, this product could be a gane changer for people with skin issues",FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Like the idea of having healthier skin with different benefits in the product,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Probiotic bodycare,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,All of it,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,All of it!,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,The idea itself,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Everything,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,The chat,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Cool stylish,FY25
UK,Likes,S&G Rebalancing Probiotic Bodycare,Cleanses and protects skin.,FY25
US,Dislikes,S&G Be Me Body Sprays Us,nothing,FY25
US,Dislikes,S&G Be Me Body Sprays Us,to much information listed the key points get lost in the ad,FY25
US,Dislikes,S&G Be Me Body Sprays Us,"The ""magic"" ingredient",FY25
US,Dislikes,S&G Be Me Body Sprays Us,looks expensive.,FY25
US,Dislikes,S&G Be Me Body Sprays Us,"I absolutely hate scented products and wish we could get rid of all perfume, cologne, and every other headache-inducing, nausea-inducing scent.",FY25
US,Dislikes,S&G Be Me Body Sprays Us,I don't see anything to dislike.,FY25
US,Dislikes,S&G Be Me Body Sprays Us,The pictures on the ad,FY25
US,Dislikes,S&G Be Me Body Sprays Us,No thing,FY25
US,Dislikes,S&G Be Me Body Sprays Us,I don’t like the graphics and pink ovals at the bottom,FY25
US,Dislikes,S&G Be Me Body Sprays Us,Don't use body sprays,FY25
US,Dislikes,S&G Be Me Body Sprays Us,hghmg,FY25
US,Dislikes,S&G Be Me Body Sprays Us,not a fan of the flavors,FY25
US,Dislikes,S&G Be Me Body Sprays Us,No Thing,FY25
US,Dislikes,S&G Be Me Body Sprays Us,Limited fragrance types,FY25
US,Dislikes,S&G Be Me Body Sprays Us,Nothing,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,I like every thing abiut it,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,nothing,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,Its not what I need,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,I just don't think it would really apply to me,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,"It sounds like it might be fragranced, which would make it a hard pass for me. I also dislike that ""every day"" is misspelled as ""everyday"" in te ad, since spelling and grammatical errors make an ad less credible.",FY25
US,Dislikes,S&G Embrace Me Bodycare Us,Nothing to dislike.,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,The images in the ad,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,Some of the graphics and limited descriptive words,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,Unattractive,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,nnghnhg,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,No thing,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,doesn't say how many ounces per bottle,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,The scent description makes me worry that I may not like it.,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,"I don't think women should be pressured to ""fix"" their scars or discolored spots or stretch marks",FY25
US,Dislikes,S&G Embrace Me Bodycare Us,Nothing,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,So far n9thing,FY25
US,Dislikes,S&G Embrace Me Bodycare Us,"The vegan part, I just find that so unnecessary",FY25
US,Dislikes,S&G Embrace Me Bodycare Us,I think it would cost a lot,FY25
US,Dislikes,S&G Original Pink Suncare Us,I like every thing about it,FY25
US,Dislikes,S&G Original Pink Suncare Us,No,FY25
US,Dislikes,S&G Original Pink Suncare Us,not familiar with the brand,FY25
US,Dislikes,S&G Original Pink Suncare Us,Looks expensive,FY25
US,Dislikes,S&G Original Pink Suncare Us,Seems like it will be pricey,FY25
US,Dislikes,S&G Original Pink Suncare Us,it looks expensive.,FY25
US,Dislikes,S&G Original Pink Suncare Us,"I hate that it is fragranced, and I don't need a sunscreen since I use a broad-spectrum fragrance-free SPF foundation every day.",FY25
US,Dislikes,S&G Original Pink Suncare Us,"maybe the scent, I don't care for heavy scents",FY25
US,Dislikes,S&G Original Pink Suncare Us,It has aloe,FY25
US,Dislikes,S&G Original Pink Suncare Us,fnfn,FY25
US,Dislikes,S&G Original Pink Suncare Us,No thing,FY25
US,Dislikes,S&G Original Pink Suncare Us,SPF is low for my needs,FY25
US,Dislikes,S&G Original Pink Suncare Us,Probiotics in a skin care product aren't necessary.,FY25
US,Dislikes,S&G Original Pink Suncare Us,Nothing,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,I like every thing about it,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Nothing,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Its oky,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,not familiar with the brand,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,It looks expensive,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,looks expensive.,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,There's nothing to dislike.,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,The pink ovals,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Everything,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,I think it would be drying despite description.,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Just not familiar with the brand makes me slightly hesitate,FY25
US,Dislikes,S&G Rebalancing Probiotic Bodycare Us,Seems basic almost like lotion.,FY25
US,Likes,S&G Be Me Body Sprays Us,Benefits for my body,FY25
US,Likes,S&G Be Me Body Sprays Us,everything,FY25
US,Likes,S&G Be Me Body Sprays Us,I like that it adapts to different skin.,FY25
US,Likes,S&G Be Me Body Sprays Us,Citrus and floral,FY25
US,Likes,S&G Be Me Body Sprays Us,Ifeel confident about him,FY25
US,Likes,S&G Be Me Body Sprays Us,very informative,FY25
US,Likes,S&G Be Me Body Sprays Us,It adapts to you skin for a unique scent.,FY25
US,Likes,S&G Be Me Body Sprays Us,I like the idea of the scents being me.,FY25
US,Likes,S&G Be Me Body Sprays Us,Informative,FY25
US,Likes,S&G Be Me Body Sprays Us,I liked everything about the product,FY25
US,Likes,S&G Be Me Body Sprays Us,The presentation and the details,FY25
US,Likes,S&G Be Me Body Sprays Us,Sent,FY25
US,Likes,S&G Be Me Body Sprays Us,looks fun.,FY25
US,Likes,S&G Be Me Body Sprays Us,variety of products,FY25
US,Likes,S&G Be Me Body Sprays Us,"I really like that it is vegan, and if I were absolutely forced to wear a fragrance, I like that there are gourmand ones in this line because those are less nauseating than florals and other noxious and irritating scents.",FY25
US,Likes,S&G Be Me Body Sprays Us,Again the colors,FY25
US,Likes,S&G Be Me Body Sprays Us,I really like the concept of being able to have a perfume that smells more unique on me.,FY25
US,Likes,S&G Be Me Body Sprays Us,Scent adapting,FY25
US,Likes,S&G Be Me Body Sprays Us,Fine mist and long lasting,FY25
US,Likes,S&G Be Me Body Sprays Us,All thing,FY25
US,Likes,S&G Be Me Body Sprays Us,The personalization of the scent,FY25
US,Likes,S&G Be Me Body Sprays Us,It adapts,FY25
US,Likes,S&G Be Me Body Sprays Us,this is a new scent and prodcuts,FY25
US,Likes,S&G Be Me Body Sprays Us,Adapts to your skin,FY25
US,Likes,S&G Be Me Body Sprays Us,vghn,FY25
US,Likes,S&G Be Me Body Sprays Us,That it adapts to your skin,FY25
US,Likes,S&G Be Me Body Sprays Us,not expensive,FY25
US,Likes,S&G Be Me Body Sprays Us,It all,FY25
US,Likes,S&G Be Me Body Sprays Us,Vegan,FY25
US,Likes,S&G Be Me Body Sprays Us,New protection in a brand I kike,FY25
US,Likes,S&G Be Me Body Sprays Us,Scents,FY25
US,Likes,S&G Be Me Body Sprays Us,I like that it’s clean and the smell works w your body.,FY25
US,Likes,S&G Be Me Body Sprays Us,the novelty of the high notes being dependent on your own body chemistry,FY25
US,Likes,S&G Be Me Body Sprays Us,Love soap and glory products,FY25
US,Likes,S&G Be Me Body Sprays Us,It's vegan,FY25
US,Likes,S&G Be Me Body Sprays Us,Good,FY25
US,Likes,S&G Be Me Body Sprays Us,Body spray,FY25
US,Likes,S&G Be Me Body Sprays Us,Clean,FY25
US,Likes,S&G Be Me Body Sprays Us,i like it gives me a long lasting fine fragrance experience without a premium price tag.  this is very ideal to me.,FY25
US,Likes,S&G Be Me Body Sprays Us,The franance,FY25
US,Likes,S&G Be Me Body Sprays Us,Everything,FY25
US,Likes,S&G Be Me Body Sprays Us,That its dermatologist approved,FY25
US,Likes,S&G Be Me Body Sprays Us,I like the different fragrance,FY25
US,Likes,S&G Be Me Body Sprays Us,100% vegan floral,FY25
US,Likes,S&G Be Me Body Sprays Us,100% vegan,FY25
US,Likes,S&G Be Me Body Sprays Us,Cool,FY25
US,Likes,S&G Be Me Body Sprays Us,I liked that the scent is customizable to me. It is very different from other products.,FY25
US,Likes,S&G Be Me Body Sprays Us,New,FY25
US,Likes,S&G Be Me Body Sprays Us,I love that everyone has a different scent when using it.,FY25
US,Likes,S&G Be Me Body Sprays Us,I love the choices you have,FY25
US,Likes,S&G Be Me Body Sprays Us,It's very good idea,FY25
US,Likes,S&G Be Me Body Sprays Us,Its  a lasting  scent,FY25
US,Likes,S&G Embrace Me Bodycare Us,I like every thing qbout it,FY25
US,Likes,S&G Embrace Me Bodycare Us,color,FY25
US,Likes,S&G Embrace Me Bodycare Us,All the ways it benefits the body,FY25
US,Likes,S&G Embrace Me Bodycare Us,I like the Whole ad,FY25
US,Likes,S&G Embrace Me Bodycare Us,everything,FY25
US,Likes,S&G Embrace Me Bodycare Us,Clean and vegan,FY25
US,Likes,S&G Embrace Me Bodycare Us,Feree good,FY25
US,Likes,S&G Embrace Me Bodycare Us,Supports women's changing bodies.,FY25
US,Likes,S&G Embrace Me Bodycare Us,The skin protection,FY25
US,Likes,S&G Embrace Me Bodycare Us,Informative,FY25
US,Likes,S&G Embrace Me Bodycare Us,I liked everything about the idea,FY25
US,Likes,S&G Embrace Me Bodycare Us,It sounds perfect for people like me,FY25
US,Likes,S&G Embrace Me Bodycare Us,It’s really great,FY25
US,Likes,S&G Embrace Me Bodycare Us,variety of products,FY25
US,Likes,S&G Embrace Me Bodycare Us,The scar and skin tone oil sounds intriguing and I like that this line is vegan.,FY25
US,Likes,S&G Embrace Me Bodycare Us,I like that the products don't contain ingredients I like to avoid & that they aren't tested on animals.  All 4 products address relevant issues I have.,FY25
US,Likes,S&G Embrace Me Bodycare Us,I lik d how they used pink in the flyer,FY25
US,Likes,S&G Embrace Me Bodycare Us,The claims made by the product,FY25
US,Likes,S&G Embrace Me Bodycare Us,Everything,FY25
US,Likes,S&G Embrace Me Bodycare Us,PH balance and scar treatment,FY25
US,Likes,S&G Embrace Me Bodycare Us,Cool fix,FY25
US,Likes,S&G Embrace Me Bodycare Us,That it's specifically made for women and 100 percent vegan.,FY25
US,Likes,S&G Embrace Me Bodycare Us,lhr,FY25
US,Likes,S&G Embrace Me Bodycare Us,Body wash,FY25
US,Likes,S&G Embrace Me Bodycare Us,It’s vegan,FY25
US,Likes,S&G Embrace Me Bodycare Us,cooling,FY25
US,Likes,S&G Embrace Me Bodycare Us,it all,FY25
US,Likes,S&G Embrace Me Bodycare Us,PH balanced,FY25
US,Likes,S&G Embrace Me Bodycare Us,no animal testing,FY25
US,Likes,S&G Embrace Me Bodycare Us,I like that this is vegan. I like that this uses natural ingredients.,FY25
US,Likes,S&G Embrace Me Bodycare Us,"Clea, vegan, ph balanced",FY25
US,Likes,S&G Embrace Me Bodycare Us,Attends to women’s monthly needs,FY25
US,Likes,S&G Embrace Me Bodycare Us,I'm always interested in treating pain from cramps,FY25
US,Likes,S&G Embrace Me Bodycare Us,That its a new product from a line i like using,FY25
US,Likes,S&G Embrace Me Bodycare Us,Hemp bath soap,FY25
US,Likes,S&G Embrace Me Bodycare Us,Excellent,FY25
US,Likes,S&G Embrace Me Bodycare Us,Natural,FY25
US,Likes,S&G Embrace Me Bodycare Us,It helps with ph balance,FY25
US,Likes,S&G Embrace Me Bodycare Us,Love how it helps get skin back to normal after having kids. It really does a number on a woman's skin,FY25
US,Likes,S&G Embrace Me Bodycare Us,L liked that it is natural and would help my sensitive skin.,FY25
US,Likes,S&G Embrace Me Bodycare Us,It vegan,FY25
US,Likes,S&G Embrace Me Bodycare Us,The age group in which this product is relevant to,FY25
US,Likes,S&G Embrace Me Bodycare Us,For all body types,FY25
US,Likes,S&G Embrace Me Bodycare Us,It helps improve the appearance of scars,FY25
US,Likes,S&G Embrace Me Bodycare Us,It's new,FY25
US,Likes,S&G Embrace Me Bodycare Us,I like the different variations based on times of the month,FY25
US,Likes,S&G Embrace Me Bodycare Us,"I like so much the package of benefits like PH sensitive balanced, sensorial hemp bath, scar and",FY25
US,Likes,S&G Embrace Me Bodycare Us,I love the idea and concept,FY25
US,Likes,S&G Embrace Me Bodycare Us,Very good,FY25
US,Likes,S&G Original Pink Suncare Us,Everything,FY25
US,Likes,S&G Original Pink Suncare Us,I like every thing about it,FY25
US,Likes,S&G Original Pink Suncare Us,I love soap and glory products so I would be excited to see how this dog product would work,FY25
US,Likes,S&G Original Pink Suncare Us,everything,FY25
US,Likes,S&G Original Pink Suncare Us,I love the suncare idea just the face that it's dermatologist tested is a win for me.,FY25
